Wall time,Step,Value
1736813239.9721196,331162,24.0
1736813765.814766,333754,33.0
1736813828.825404,334064,24.0
1736813945.3751624,334640,26.0
1736814089.039579,335406,28.0
1736814201.774179,335924,32.0
1736814244.420888,336154,28.0
1736814375.051185,336843,27.0
1736814394.620463,336951,26.0
1736814526.100361,337650,28.0
1736814675.8614507,338450,29.0
1736814808.339934,339134,27.0
1736814879.1492093,339503,26.0
1736815239.76667,341410,27.0
1736815544.0024803,342861,25.0
1736815608.1438239,343213,27.0
1736815777.5836644,344129,28.0
1736816189.270001,346135,27.0
1736816231.1762269,346328,26.0
1736816356.4127395,346998,27.0
1736816455.986684,347504,29.0
1736816499.7574627,347734,28.0
1736816848.7337344,349423,31.0
1736817272.464976,351714,27.0
1736817751.4623969,354209,27.0
1736818233.3416686,356418,29.0
1736818277.9408998,356655,24.0
1736818321.7179112,356892,26.0
1736818393.9221702,357290,29.0
1736818463.6863976,357643,31.0
1736818920.565285,359932,32.0
1736819208.8395817,361449,28.0
1736819252.5755193,361603,32.0
1736819571.6981404,363159,25.0
1736820367.1628282,367108,30.0
1736820411.2439947,367354,23.0
1736821027.6224263,370240,29.0
1736821122.2404687,370704,24.0
1736821172.4052517,370928,25.0
1736821329.1882923,371667,24.0
1736821414.235862,371940,28.0
1736821472.5782907,372138,26.0
1736821737.511582,373196,24.0
1736821940.5562954,374043,28.0
1736822327.131579,375620,29.0
1736822511.3703506,376378,28.0
1736822827.4839244,377656,29.0
1736822871.5458052,377836,25.0
1736822932.8527405,378082,25.0
1736823245.2181144,379313,29.0
1736823352.0713925,379835,31.0
1736823492.4725733,380513,31.0
1736823540.3702319,380751,26.0
1736823783.6807215,381976,28.0
1736823882.0860562,382459,22.0
1736824618.902737,386296,26.0
1736824760.1480117,387040,29.0
1736824936.3079355,387987,29.0
1736825599.0414066,391404,30.0
1736825626.4081154,391557,33.0
1736825829.6516314,392610,23.0
1736826076.170181,393917,29.0
1736826275.8734407,395015,30.0
1736826454.630453,395992,29.0
1736826554.5967214,396553,34.0
1736826826.715929,398055,32.0
1736826984.1517196,398885,29.0
1736827143.016365,399752,28.0
1736827727.6982486,402938,28.0
1736828031.3900297,404516,32.0
1736828184.4024103,405330,31.0
1736828422.6033485,406615,31.0
1736828447.6600938,406752,30.0
1736828751.6311073,408368,27.0
1736829028.0539072,409894,30.0
1736829108.3203206,410322,28.0
1736829388.599347,411804,29.0
1736829415.788251,411950,31.0
1736830611.2804198,418291,28.0
1736830737.4188552,418977,24.0
1736830760.3419647,419103,26.0
1736830985.1971955,420339,27.0
1736832924.108979,430437,30.0
1736833236.1730313,432085,29.0
1736833262.9036682,432231,31.0
1736833312.5120096,432507,28.0
1736833366.2489758,432801,30.0
1736833438.6010303,433195,30.0
1736833465.7813776,433340,31.0
1736834138.1114423,436898,33.0
1736834281.76667,437630,27.0
1736834366.920881,438036,28.0
1736834563.4312546,438836,27.0
1736834818.8041768,440077,33.0
1736835026.6211658,441072,27.0
1736835101.784266,441435,31.0
1736835122.8895564,441540,29.0
1736835488.1854467,443101,31.0
1736835843.8978145,444823,26.0
1736835996.9809167,445409,29.0
1736836109.383952,445759,25.0
1736836370.310666,446746,30.0
1736836412.9763424,446950,26.0
1736836624.68955,447911,34.0
1736836716.2409542,448342,25.0
1736836838.2627518,448954,27.0
1736836937.8834698,449453,28.0
1736837508.9949536,452202,34.0
1736837774.573131,453191,20.0
1736838144.8419957,454872,31.0
1736838308.3050802,455624,30.0
1736838457.619182,456281,27.0
1736838550.7411447,456685,26.0
1736838575.0188823,456801,31.0
1736838992.70219,458822,30.0
1736839014.6841946,458923,29.0
1736839054.8608599,459122,29.0
1736839197.9495382,459773,32.0
1736839890.8944986,463180,32.0
1736840012.98607,463792,24.0
1736840091.7183173,464205,28.0
1736840148.888131,464507,27.0
1736840327.9002142,465448,32.0
1736840372.463162,465679,27.0
1736840718.5061128,467525,30.0
1736840742.6780818,467654,34.0
1736841193.9037323,469963,33.0
1736841216.2947266,470081,32.0
1736841285.0222087,470429,24.0
1736841467.7224522,471360,30.0
1736841648.0083466,472286,29.0
1736841685.5059268,472482,23.0
1736841707.1733704,472598,31.0
1736842032.017621,474309,29.0
1736842236.0805573,475411,26.0
1736842297.9494722,475746,31.0
1736842541.1837091,477039,33.0
1736842606.6569314,477390,32.0
1736842653.603477,477628,29.0
1736842701.9531615,477876,31.0
1736842971.4293277,479299,26.0
1736843320.4808922,481178,32.0
1736843628.9738097,482829,31.0
1736843750.5160973,483471,26.0
1736843902.6127892,484272,26.0
1736844063.8211317,485122,23.0
1736844138.9907937,485532,27.0
1736844284.2608893,486324,33.0
1736844305.8769026,486441,32.0
1736844327.9763887,486562,33.0
1736844559.8437438,487778,31.0
1736845125.3643808,490749,34.0
1736845243.46644,491352,29.0
1736845591.0822568,493163,32.0
1736845700.5373158,493748,31.0
1736845837.0359583,494453,26.0
1736845934.0421584,494952,30.0
1736845955.32362,495064,30.0
1736846120.0714896,495932,30.0
1736846184.4814348,496262,27.0
1736846205.4581046,496372,28.0
1736846246.8007896,496591,29.0
1736846305.3679283,496900,25.0
1736846494.8594735,497883,25.0
1736846576.7318127,498309,28.0
1736846661.7199082,498750,24.0
1736846724.1214318,499081,29.0
1736846745.5610192,499193,31.0
1736846877.989527,499896,32.0
1736847016.086226,500609,32.0
1736847059.1904142,500837,31.0
1736847124.0447822,501171,26.0
1736847968.8437753,505097,31.0
1736848218.5552301,506379,28.0
1736848630.5567331,508456,30.0
1736848674.2047129,508681,28.0
1736849034.8601367,510509,29.0
1736849098.9942732,510851,30.0
1736849142.309455,511082,28.0
1736849169.3700726,511221,32.0
1736849591.5356503,513437,25.0
1736850133.3457243,516130,27.0
1736850192.954593,516450,29.0
1736850477.9179184,517945,32.0
1736850662.4463656,518878,33.0
1736850882.0558884,519884,29.0
1736850939.7216082,520192,27.0
1736850984.8687348,520426,29.0
1736851005.3710346,520535,30.0
1736851325.0852942,521981,32.0
1736851500.0026398,522669,28.0
1736852004.092453,525054,35.0
1736852140.7473428,525762,30.0
1736852203.4357595,526097,27.0
1736852406.656091,526851,33.0
1736852709.929269,528272,28.0
1736852753.329854,528479,32.0
1736852773.4197168,528577,27.0
1736852922.9715464,529297,27.0
1736853324.6837747,531214,32.0
1736853831.597927,533573,24.0
1736853945.0924737,534111,31.0
1736853965.0943341,534208,27.0
1736854406.2363355,535983,29.0
1736854450.7706573,536173,26.0
1736854592.3564563,536782,32.0
1736855194.2650542,539309,30.0
1736855305.249138,539777,21.0
1736855614.2388704,541021,30.0
1736855720.5418077,541365,26.0
1736856232.5836496,543544,30.0
1736856428.4763548,544588,23.0
1736856964.383437,547498,27.0
1736857024.6855721,547837,28.0
1736857043.4483674,547944,24.0
1736857131.2751472,548424,26.0
1736857153.6262596,548547,28.0
1736857249.2804449,549089,33.0
1736857881.8743958,552075,31.0
1736858592.3145752,555370,28.0
1736858930.4499462,557148,32.0
1736859350.8486733,559390,31.0
1736859640.5530262,560924,32.0
1736860071.9744222,562902,30.0
1736860420.894759,564473,30.0
1736860444.6512785,564577,24.0
1736860516.6069565,564906,34.0
1736860945.793226,566850,34.0
1736861054.2147813,567328,27.0
1736861572.58623,569607,32.0
1736861623.1477468,569836,29.0
1736861968.065221,571427,34.0
1736862087.8490202,571966,30.0
1736862428.2426653,573533,27.0
1736862455.1116207,573655,34.0
1736862506.4043934,573890,30.0
1736862637.6252284,574455,31.0
1736863334.6059701,577559,30.0
1736863549.0552347,578540,29.0
1736863717.1156924,579301,29.0
1736863813.2062614,579737,33.0
1736863995.0811,580581,33.0
1736864158.5088654,581392,31.0
1736864317.9128256,582215,34.0
1736864400.3845348,582647,25.0
1736864457.696007,582946,31.0
1736864876.2917848,585103,35.0
1736865132.2034547,586370,31.0
1736865357.3307617,587520,32.0
1736865864.8476398,590016,32.0
1736866004.6004834,590680,30.0
1736866066.4139183,590975,25.0
1736866445.8459206,592593,34.0
1736866519.0751333,592948,34.0
1736866689.1296775,593847,30.0
1736867023.0584273,595576,29.0
1736867158.5826247,596229,27.0
1736867456.8352947,597742,28.0
1736867757.5009532,599196,31.0
1736868324.90299,601508,30.0
1736868643.5608454,602809,32.0
1736868690.6022213,603011,30.0
1736868793.960084,603455,28.0
1736869177.0546842,605091,30.0
1736870223.9078846,609365,29.0
1736870292.7804742,609694,35.0
1736870398.4822505,610166,34.0
1736870720.77256,611640,28.0
1736870980.5042922,612810,27.0
1736871146.070133,613542,30.0
1736871317.281354,614264,33.0
1736871556.831507,615328,27.0
1736871628.231363,615673,34.0
1736871751.0256195,616252,30.0
1736871873.831106,616823,37.0
1736872026.5751276,617521,33.0
1736872311.6659691,618805,35.0
1736872339.820128,618914,27.0
1736872752.8891895,620746,30.0
1736872837.7052333,621125,29.0
1736872997.6683357,621852,29.0
1736873650.2744672,625066,27.0
1736873707.7905297,625354,37.0
1736873908.0054839,626359,34.0
1736874170.7834039,627659,35.0
1736874374.4783094,628700,37.0
1736874427.5323477,628966,26.0
1736874605.0111945,629893,32.0
1736874834.2035074,631073,26.0
1736875084.7080338,632371,27.0
